,home_won
391605,0
283850,1
243009,0
373956,1
52780,0
382035,0
199950,0
233428,1
109919,1
7977,0
255817,1
216033,0
194014,1
76013,0
181245,0
135638,0
420661,0
155212,0
30999,0
207880,1
327573,0
34509,1
396098,0
352867,0
43411,0
314967,0
106433,1
95998,0
59583,1
60165,1
141589,1
324016,0
306238,1
361604,0
409449,1
306268,1
146110,1
75469,1
298877,1
151800,1
174482,0
181091,1
142637,0
157634,1
225020,1
283067,1
207754,1
406418,1
85414,1
80084,1
343885,1
34456,1
93349,1
168069,0
281786,0
112976,0
161031,1
376156,1
164636,0
216232,1
162131,1
289705,0
5274,0
409589,1
200856,1
347456,0
50877,0
322354,0
261213,1
196732,1
184423,1
45592,1
151465,1
327097,1
304023,0
263870,1
6252,0
179683,0
36054,1
284293,1
17134,1
134718,1
206055,1
56415,0
349895,1
299244,1
153019,1
24656,0
187881,0
357793,0
275809,1
274669,1
167774,1
223750,1
18395,0
154960,1
282281,1
348018,1
358657,0
331812,0
11065,1
416919,0
206584,1
302431,0
268977,0
226920,0
366170,0
311174,1
415222,0
98791,1
318593,0
156622,1
205626,1
164154,0
273712,1
14654,1
279909,1
351509,0
382653,0
38090,1
142469,1
264241,0
159044,1
278224,0
188131,1
14170,0
398977,0
114487,0
287940,1
369284,0
16330,1
404617,1
274171,1
278701,1
214393,0
69594,0
237895,0
374971,1
174109,0
126195,1
401310,1
309035,0
363670,1
140698,0
281914,1
307476,1
223964,1
204606,0
123723,1
34191,1
183732,1
161108,0
352379,1
135060,1
165644,1
290337,1
311253,1
192308,1
100365,0
10791,1
122029,1
322726,0
288329,1
330341,0
389567,1
235213,1
392880,0
53268,1
67799,1
177766,0
279682,1
213447,0
